start,end,corpus,sent_id,left,node,right,node_sentences,term,selection,root,morph,use,target
88,102,ind_news_2024_1M,391573,Kampanye cuci AC selama dua bulan gratis telah dilaksanakan di 22 kecamatan di wilayah,Ciayumajukuning,"atau Cirebon, Indramayu, Majalengka dan Kuningan.","Kampanye cuci AC selama dua bulan gratis telah dilaksanakan di 22 kecamatan di wilayah <m>Ciayumajukuning</m> atau Cirebon, Indramayu, Majalengka dan Kuningan.",ciayumajukuning,n,,,,
143,155,ind_news_2024_1M,57322,"Ayah adalah seorang pemikir, pejuang untuk perubahan karakter dan akhlakbangsa yang dalam beberapa dekade ini merosot dan mengalami degradasi",dankemunduran,", bahkan lari dari nilai dan tuntunan Al-Quran.","Ayah adalah seorang pemikir, pejuang untuk perubahan karakter dan akhlakbangsa yang dalam beberapa dekade ini merosot dan mengalami degradasi <m>dankemunduran</m>, bahkan lari dari nilai dan tuntunan Al-Quran.",dankemunduran,y,mundur,ke-root-an,,
128,136,ind_news_2024_1M,899190,"Sudah banyak yang mendesak agar hal itu tidak hanya menjadi objek kritik etika dan politik, tetapi juga harus dan mutlak untuk",dimajukan,"ke dalam ranah hukum, karena sudah dalam kategori gratifikasi.","Sudah banyak yang mendesak agar hal itu tidak hanya menjadi objek kritik etika dan politik, tetapi juga harus dan mutlak untuk <m>dimajukan</m> ke dalam ranah hukum, karena sudah dalam kategori gratifikasi.",dimajukan,y,maju,di-root-kan,met,advancement
41,49,ind_news_2024_1M,870962,“Serta memberikan usulan tindakan untuk,memajukan,"agenda air global,” timpalnya.","“Serta memberikan usulan tindakan untuk <m>memajukan</m> agenda air global,” timpalnya.",memajukan,y,maju,me-root-kan,met,advancement
178,186,ind_news_2024_1M,739839,"Retno Marsudi Menteri Luar Negeri (Menlu) RI ditunjuk sebagai Utusan Khusus Antonio Guterres Sekretaris Jenderal Perserikatan Bangsa-Bangsa (PBB), untuk Urusan Air dalam rangka",memajukan,"agenda air sedunia, khususnya terkait hasil Konferensi Air PBB 2023.","Retno Marsudi Menteri Luar Negeri (Menlu) RI ditunjuk sebagai Utusan Khusus Antonio Guterres Sekretaris Jenderal Perserikatan Bangsa-Bangsa (PBB), untuk Urusan Air dalam rangka <m>memajukan</m> agenda air sedunia, khususnya terkait hasil Konferensi Air PBB 2023.",memajukan,y,maju,me-root-kan,met,advancement
126,134,ind_news_2024_1M,900035,"""Sudah sekian lama kita berkolaborasi, dan benar-benar menunjukkan konsistensi dari pemerintah untuk berkomitmen terus untuk",memajukan,agenda dan perkembangan usia dini di Indonesia.,"""Sudah sekian lama kita berkolaborasi, dan benar-benar menunjukkan konsistensi dari pemerintah untuk berkomitmen terus untuk <m>memajukan</m> agenda dan perkembangan usia dini di Indonesia.",memajukan,y,maju,me-root-kan,met,advancement
87,95,ind_news_2024_1M,461797,"""Kita ketahui sosok Fadil Imran adalah orang yang memang sudah terbukti ikut terlibat",memajukan,"bulutangkis sampai ke daerah-daerah, termasuk diberikan kesempatan Pra PON dan sirkuit nasional,"" ujar Ketua Pengprov Johan Daniel, Sabtu (22/6/2024).","""Kita ketahui sosok Fadil Imran adalah orang yang memang sudah terbukti ikut terlibat <m>memajukan</m> bulutangkis sampai ke daerah-daerah, termasuk diberikan kesempatan Pra PON dan sirkuit nasional,"" ujar Ketua Pengprov Johan Daniel, Sabtu (22/6/2024).",memajukan,y,maju,me-root-kan,met,advancement
105,113,ind_news_2024_1M,614615,"Oleh karena itu, berikut adalah semua pemain yang mungkin pindah dari musim panas ini dalam upaya untuk",memajukan,karier mereka.,"Oleh karena itu, berikut adalah semua pemain yang mungkin pindah dari musim panas ini dalam upaya untuk <m>memajukan</m> karier mereka.",memajukan,y,maju,me-root-kan,met,advancement
163,171,ind_news_2024_1M,799217,"Sebelumnya, Wakil Ketua Tim Kampanye Nasional (TKN) Prabowo-Gibran, Eddy Soeparno, mengatakan saat ini Prabowo tengah berupaya mengkonsolidasikan kekuasaan untuk",memajukan,kebijakannya tersebut.,"Sebelumnya, Wakil Ketua Tim Kampanye Nasional (TKN) Prabowo-Gibran, Eddy Soeparno, mengatakan saat ini Prabowo tengah berupaya mengkonsolidasikan kekuasaan untuk <m>memajukan</m> kebijakannya tersebut.",memajukan,y,maju,me-root-kan,met,advancement
61,69,ind_news_2024_1M,997504,Yellen mengatakan dialognya dengan para pejabat China telah,memajukan,"kepentingan Amerika dan bahwa AS khawatir ekses kapasitas industri itu dirasakan juga oleh para sekutu di Eropa, Jepang, Meksiko, Filipina dan negara-negara berkembang lainnya.","Yellen mengatakan dialognya dengan para pejabat China telah <m>memajukan</m> kepentingan Amerika dan bahwa AS khawatir ekses kapasitas industri itu dirasakan juga oleh para sekutu di Eropa, Jepang, Meksiko, Filipina dan negara-negara berkembang lainnya.",memajukan,y,maju,me-root-kan,met,advancement
73,81,ind_news_2024_1M,461936,"""Kita lihat BRICS dapat menjadi kendaraan yang tepat untuk membahas dan",memajukan,"kepentingan bersama Global South,"" lanjut Menlu Sugiono.","""Kita lihat BRICS dapat menjadi kendaraan yang tepat untuk membahas dan <m>memajukan</m> kepentingan bersama Global South,"" lanjut Menlu Sugiono.",memajukan,y,maju,me-root-kan,met,advancement
